date,winter_year,snow_accumulation
1938-04-03,1937,0.0
1938-04-06,1937,0.0
1938-11-01,1938,0.0
1938-11-02,1938,0.0
1938-11-03,1938,0.0
1938-11-04,1938,0.0
1938-11-05,1938,0.0
1938-11-06,1938,0.0
1938-11-07,1938,0.0
1938-11-08,1938,0.0
1938-11-09,1938,0.0
1938-11-10,1938,0.0
1938-11-11,1938,0.0
1938-11-12,1938,0.0
1938-11-13,1938,0.0
1938-11-14,1938,0.0
1938-11-15,1938,0.0
1938-11-16,1938,0.0
1938-11-17,1938,0.0
1938-11-18,1938,0.0
1938-11-19,1938,0.0
1938-11-20,1938,0.0
1938-11-21,1938,0.0
1938-11-22,1938,0.0
1938-11-23,1938,0.0
1938-11-24,1938,0.0
1938-11-25,1938,0.0
1938-11-26,1938,30.0
1938-11-27,1938,30.0
1938-11-28,1938,30.0
1938-11-29,1938,30.0
1938-11-30,1938,30.0
1938-12-01,1938,30.0
1938-12-02,1938,30.0
1938-12-03,1938,30.0
1938-12-04,1938,30.0
1938-12-05,1938,30.0
1938-12-06,1938,33.0
1938-12-07,1938,33.0
1938-12-08,1938,33.0
1938-12-09,1938,33.0
1938-12-10,1938,33.0
1938-12-11,1938,33.0
1938-12-12,1938,33.0
1938-12-13,1938,33.0
1938-12-14,1938,33.0
1938-12-15,1938,33.0
1938-12-16,1938,33.0
1938-12-17,1938,33.0
1938-12-18,1938,33.0
1938-12-19,1938,33.0
1938-12-20,1938,33.0
1938-12-21,1938,33.0
1938-12-22,1938,38.0
1938-12-23,1938,68.0
1938-12-24,1938,68.0
1938-12-25,1938,68.0
1938-12-26,1938,88.0
1938-12-27,1938,91.0
1938-12-28,1938,99.0
1938-12-29,1938,99.0
1938-12-30,1938,104.0
1938-12-31,1938,134.0
1939-01-01,1938,134.0
1939-01-02,1938,134.0
1939-01-03,1938,134.0
1939-01-04,1938,134.0
1939-01-05,1938,134.0
1939-01-06,1938,134.0
1939-01-07,1938,134.0
1939-01-08,1938,134.0
1939-01-09,1938,134.0
1939-01-10,1938,134.0
1939-01-11,1938,134.0
1939-01-12,1938,142.0
1939-01-13,1938,167.0
1939-01-14,1938,208.0
1939-01-15,1938,221.0
1939-01-16,1938,221.0
1939-01-17,1938,262.0
1939-01-18,1938,323.0
1939-01-19,1938,369.0
1939-01-20,1938,379.0
1939-01-21,1938,379.0
1939-01-22,1938,379.0
1939-01-23,1938,379.0
1939-01-24,1938,432.0
1939-01-25,1938,470.0
1939-01-26,1938,633.0
1939-01-27,1938,633.0
1939-01-28,1938,633.0
1939-01-29,1938,633.0
1939-01-30,1938,633.0
1939-01-31,1938,633.0
1939-02-01,1938,633.0
1939-02-02,1938,633.0
1939-02-03,1938,633.0
1939-02-04,1938,633.0
1939-02-05,1938,633.0
1939-02-06,1938,633.0
1939-02-07,1938,633.0
1939-02-08,1938,633.0
1939-02-09,1938,633.0
1939-02-10,1938,633.0
1939-02-11,1938,633.0
1939-02-12,1938,633.0
1939-02-13,1938,633.0
1939-02-14,1938,633.0
1939-02-15,1938,633.0
1939-02-16,1938,648.0
1939-02-17,1938,694.0
1939-02-18,1938,694.0
1939-02-19,1938,694.0
1939-02-20,1938,697.0
1939-02-21,1938,875.0
1939-02-22,1938,875.0
1939-02-23,1938,893.0
1939-02-24,1938,893.0
1939-02-25,1938,893.0
1939-02-26,1938,893.0
1939-02-27,1938,893.0
1939-02-28,1938,898.0
1939-03-01,1938,898.0
1939-03-02,1938,898.0
1939-03-03,1938,898.0
1939-03-04,1938,898.0
1939-03-05,1938,972.0
1939-03-06,1938,1051.0
1939-03-07,1938,1051.0
1939-03-08,1938,1051.0
1939-03-09,1938,1051.0
1939-03-10,1938,1051.0
1939-03-11,1938,1051.0
1939-03-12,1938,1051.0
1939-03-13,1938,1051.0
1939-03-14,1938,1051.0
1939-03-15,1938,1051.0
1939-03-16,1938,1051.0
1939-03-17,1938,1051.0
1939-03-18,1938,1051.0
1939-03-19,1938,1051.0
1939-03-20,1938,1051.0
1939-03-21,1938,1051.0
1939-03-22,1938,1051.0
1939-03-23,1938,1051.0
1939-03-24,1938,1051.0
1939-03-25,1938,1051.0
1939-03-26,1938,1051.0
1939-03-27,1938,1051.0
1939-03-28,1938,1051.0
1939-03-29,1938,1102.0
1939-03-30,1938,1166.0
1939-03-31,1938,1166.0
1939-04-01,1938,1166.0
1939-04-02,1938,1166.0
1939-04-03,1938,1166.0
1939-04-04,1938,1166.0
1939-04-05,1938,1166.0
1939-04-06,1938,1166.0
1939-04-07,1938,1191.0
1939-04-08,1938,1191.0
1939-04-09,1938,1191.0
1939-04-10,1938,1191.0
1939-04-11,1938,1191.0
1939-04-12,1938,1194.0
1939-04-13,1938,1194.0
1939-04-14,1938,1194.0
1939-04-15,1938,1194.0
1939-04-16,1938,1194.0
1939-04-17,1938,1194.0
1939-04-18,1938,1194.0
1939-04-19,1938,1194.0
1939-04-20,1938,1194.0
1939-04-21,1938,1194.0
1939-04-22,1938,1194.0
1939-04-23,1938,1194.0
1939-04-24,1938,1194.0
1939-04-25,1938,1194.0
1939-04-26,1938,1194.0
1939-04-27,1938,1194.0
1939-04-28,1938,1194.0
1939-04-29,1938,1194.0
1939-04-30,1938,1194.0
1939-10-01,1939,0.0
1939-10-02,1939,0.0
1939-10-03,1939,0.0
1939-10-04,1939,0.0
1939-10-05,1939,0.0
1939-10-06,1939,0.0
1939-10-07,1939,0.0
1939-10-08,1939,0.0
1939-10-09,1939,0.0
1939-10-10,1939,0.0
1939-10-11,1939,0.0
1939-10-12,1939,0.0
1939-10-13,1939,0.0
1939-10-14,1939,0.0
1939-10-15,1939,0.0
1939-10-16,1939,0.0
1939-10-17,1939,0.0
1939-10-18,1939,0.0
1939-10-19,1939,0.0
1939-10-20,1939,0.0
1939-10-21,1939,0.0
1939-10-22,1939,0.0
1939-10-23,1939,0.0
1939-10-24,1939,0.0
1939-10-25,1939,0.0
1939-10-26,1939,0.0
1939-10-27,1939,0.0
1939-10-28,1939,0.0
1939-10-29,1939,0.0
1939-10-30,1939,0.0
1939-10-31,1939,0.0
1939-11-01,1939,0.0
1939-11-03,1939,0.0
1939-11-04,1939,0.0
1939-11-05,1939,0.0
1939-11-06,1939,0.0
